2	4	6.181271	2.934775	2.289737	6.371023	6.193904	8.197982	-7.383845	-4.954971	-5.816602	-7.072933	7.446867	6.450288	-5.802630	-2.012317	1.383747	-0.614636
10	4	-4.951593	-1.906549	-7.413540	-6.074766	6.741426	6.148499	-9.861520	-6.184124	-4.951606	-5.479281	5.513226	5.795093	6.738238	4.261264	2.862246	5.077630
12	4	3.479112	-4.271410	3.970739	5.923889	7.941424	1.603201	-11.567471	1.951816	3.502398	-3.855716	-5.055196	1.951856	-1.082398	-10.892497	3.985420	5.923889
19	4	-0.985166	3.502444	6.165338	3.166270	-6.417386	-8.179501	7.246787	6.386951	4.996657	7.043652	-3.766728	-0.919649	4.967254	6.760007	3.072867	3.154961
29	4	-5.375581	-5.666777	7.070389	6.119643	-0.152662	3.700031	4.718747	0.126517	-3.399883	-1.568156	4.720763	0.126523	5.197265	5.109268	5.890580	6.119602
40	4	-0.291548	5.592257	-4.999095	-3.237539	-0.291548	5.592254	2.965066	0.711263	-0.293176	2.626408	5.441689	5.132495	-2.854548	-4.652536	5.450298	5.132495
47	4	6.891699	3.122504	-8.144448	-4.356888	-3.248592	-3.810961	6.341896	7.038639	-3.248583	-3.809091	0.552805	7.026035	-0.667977	-0.190186	-2.158565	-2.683480
50	4	6.950457	7.835263	-2.200830	-4.546452	-1.174327	-4.481912	4.035302	0.756256	6.808592	3.319101	5.455195	6.630741	-1.174327	-8.984451	8.011177	6.632906
51	4	-2.236685	-8.964960	6.843342	7.835073	7.181815	7.361979	-6.661454	-1.159640	6.827966	3.436464	4.441029	7.835073	-0.236592	1.245414	-4.060133	-1.159640
57	4	-4.992048	-4.091624	-4.981214	-5.401142	-5.506761	-8.591276	6.793877	6.173752	5.634933	7.231527	-9.211820	-5.402062	5.036721	2.710522	3.803831	6.171372
61	4	7.976733	5.529888	-5.855421	-7.679148	7.976733	3.834331	-0.173270	4.754787	7.976733	3.743370	3.205231	4.833147	7.975978	-0.385157	3.205231	4.833147
63	4	7.253077	6.242141	-8.970561	-4.230307	-1.683222	-2.949246	-4.408425	-4.230209	-1.683238	-3.435618	8.081588	5.358607	7.253044	5.762307	3.513727	5.309227
64	4	8.243092	3.859388	-9.526613	2.944107	1.426841	-5.048792	4.393443	8.083619	4.524804	-1.686513	-4.834466	2.944114	1.426894	-4.068741	-3.957702	2.944246
65	4	1.330526	-4.379116	-4.845821	-3.093373	-4.098037	-4.426580	-4.845501	-3.093209	-4.098037	-9.821860	7.608676	6.523157	1.330526	-9.774394	7.608355	6.523156
75	4	6.559595	3.263028	-1.616929	6.780952	6.559409	3.262093	2.379540	6.904537	6.898752	9.060733	-7.974240	-5.138649	-0.188788	-7.701758	7.255857	6.904568
81	4	-6.006672	-8.046160	6.373816	6.755760	5.886986	6.910911	-8.989103	-2.654583	5.827175	3.946741	1.636278	6.473956	-4.446958	-4.916278	-3.977025	-2.586089
86	4	-4.007947	-4.943129	2.348185	0.080841	-4.007932	-4.695383	-1.157934	-4.805787	-4.007962	-8.238421	8.011489	6.046973	6.816593	6.811924	-6.630245	-4.808540
88	4	-7.202773	-2.773756	-4.637415	-3.098147	-7.202854	-2.913164	5.581024	1.174909	-7.203025	-4.606722	6.251517	7.607052	3.370259	4.029167	-5.215753	-3.102777
89	4	6.670166	6.582437	-6.758172	-0.594285	4.533143	-5.100426	6.798898	5.995627	-1.551467	-11.708858	8.214428	5.995627	-1.549484	-5.193226	-2.273190	-0.589503
90	4	5.161859	3.468164	-1.163913	7.355962	5.161843	3.468108	2.459072	8.173363	-4.150907	-8.694896	6.873008	8.173364	5.561589	6.832479	-7.512509	-1.404085
95	4	-4.054916	-7.363940	-5.797734	-2.350307	-4.054916	-12.179309	5.834190	8.207072	5.963742	4.734709	-11.741301	-2.350307	5.963608	4.670742	-8.031781	3.422648
104	4	7.357626	6.578390	-10.376323	-4.412001	-1.707311	-5.757622	-5.693585	-4.412001	-1.707314	-11.801530	5.004161	6.548537	2.956484	-7.188004	4.357822	6.547526
110	4	-2.003825	-5.200226	-0.991819	-2.216253	7.352152	6.154337	-5.820727	-4.542050	6.626642	2.095067	3.147620	5.486334	-2.098135	-9.167472	5.429583	5.486335
117	4	-5.545086	-6.394451	-6.644971	-6.705027	6.065735	5.030882	-11.080728	-6.705027	0.067848	3.113919	-6.664170	-6.705027	-6.007250	-12.336876	6.047753	5.198134
