4	2	6.367687	8.014558	-8.529232	-5.003563	-2.912708	-4.435941	8.498707	6.678865
7	2	6.964780	5.003900	-8.157323	-4.448279	-4.260694	-10.378342	6.486783	6.552108
9	2	-7.699891	-1.599653	-3.565794	-3.530012	-7.702762	-8.557743	7.145173	6.659860
17	2	6.244205	8.207625	-9.285478	-7.918868	-4.368806	-4.189807	6.520690	4.940908
18	2	0.759513	2.576799	-7.196933	-6.621847	7.259192	7.271028	-11.043923	-6.621847
21	2	7.958649	7.289194	-4.497450	-3.049244	-3.411333	-7.383075	6.755983	8.684107
26	2	6.977601	6.941250	-12.720614	-5.714440	-2.808110	-3.932424	3.066853	6.558703
27	2	8.740002	5.921860	-3.551191	-5.939702	3.642072	-6.564893	6.357497	7.061877
28	2	-4.519927	-5.144376	-8.564051	-6.369365	5.942956	6.964183	-14.908710	-6.540672
34	2	6.179230	4.297367	-11.337555	3.069571	6.179237	4.723795	-14.778751	-3.465780
36	2	2.222611	-9.619609	8.163963	6.740319	9.764152	4.612755	-5.258283	-4.888292
39	2	1.673590	-10.665908	5.440566	6.575601	9.087884	7.437404	-7.860169	-3.185065
41	2	-7.309115	-2.807326	-7.497145	-3.414567	-7.309163	-7.494635	3.939100	5.881437
42	2	7.802814	5.907683	-13.853072	-2.896451	6.718634	0.206149	-13.781931	-2.896451
45	2	-3.817173	-6.660861	-7.889893	-6.772842	-3.817173	-6.811273	4.328967	5.266206
49	2	-5.426088	-12.167196	7.344250	6.838699	6.646667	3.734892	-3.744522	-2.321094
53	2	-4.363208	-5.121283	4.148801	7.988682	5.858087	6.388461	-3.571038	3.896442
66	2	-6.282957	-10.189646	8.183937	6.617590	6.319139	7.080785	-3.246860	-6.287383
67	2	4.027260	5.866779	-6.204441	-5.584201	-7.310799	-8.537729	6.314823	5.205694
74	2	8.876826	7.510253	-10.881185	-4.685399	-3.442198	-7.840901	5.580041	6.079682
76	2	-4.780316	-5.930478	6.775404	4.532202	7.041197	6.094972	-8.777934	-4.005218
79	2	-2.891131	0.957359	-5.583637	-3.907001	-5.927496	-5.062799	5.030244	5.876002
84	2	-5.624655	-6.018907	6.228170	6.403794	6.579005	3.793549	-5.924892	3.847382
87	2	-4.038840	-4.146298	-8.605438	-7.786094	6.712504	6.553774	-14.483607	-7.786094
91	2	-8.698176	-6.210913	-6.974506	-5.321810	-8.888795	-8.967580	3.912028	6.894232
